Time,Channel1,Channel2,Channel3,Channel4,Ref1,Ref2,Ref3,IndexId
20:07:17,752.05,388,11.83,81.8,0,0,0,92
20:07:17,809.59,385.88,15.13,116.25,0,0,0,93
20:07:17,708.7,386.6,5.28,84.23,0,0,0,94
20:07:17,711.78,386.1,9.44,64.49,0,0,0,95
20:07:17,814.55,386.42,13.75,116.57,0,0,0,96
20:07:17,749.49,385.98,9.1,104.58,0,0,0,97
20:07:17,685.18,389.17,5.2,58.77,0,0,0,98
20:07:17,795.42,385.59,16.61,100.85,0,0,0,99
20:07:17,788.97,385.99,14.8,114.48,0,0,0,100
20:07:17,681.57,385.13,4.94,70.02,0,0,0,101
20:07:17,751.38,384.51,13.7,80.09,0,0,0,102
20:07:17,811.71,384.4,12.95,115.46,0,0,0,103
20:07:17,709.79,381.49,6.77,83,0,0,0,104
20:07:17,713.18,382.78,9.63,62.48,0,0,0,105
20:07:17,813.06,383.53,14.18,115.59,0,0,0,106
20:07:17,750.45,378.16,9.32,97.11,0,0,0,107
20:07:17,684.53,386.73,3.98,58.58,0,0,0,108
20:07:17,794.68,382.12,12.88,98.96,0,0,0,109
20:07:17,786.39,381.81,10.21,118.22,0,0,0,110
20:07:17,680.85,380.33,7.94,68.72,0,0,0,111
20:07:17,749.72,376.26,11.71,76.7,0,0,0,112
20:07:17,805.96,377.28,12.68,112.25,0,0,0,113
20:07:17,704.39,374.34,8.02,82.94,0,0,0,114
20:07:17,710.29,377.63,8.17,63.86,0,0,0,115
20:07:17,813.16,379.57,12.73,112.95,0,0,0,116
20:07:17,751.1,376.54,11.04,101.21,0,0,0,117
20:07:17,679.44,382.89,7.29,56.22,0,0,0,118
20:07:17,792.18,378.69,12.71,96.03,0,0,0,119
20:07:17,783.69,376.81,10.45,110.05,0,0,0,120
20:07:17,679.01,379.5,8.13,60.78,0,0,0,121
20:07:17,746.77,378.17,9.71,73.25,0,0,0,122
20:07:17,803.96,379.72,14.82,115.39,0,0,0,123
20:07:17,709.54,379.71,7.41,78.97,0,0,0,124
20:07:17,711.29,380.39,10.42,57.66,0,0,0,125
20:07:17,807.95,381.16,14.32,107.59,0,0,0,126
20:07:17,746.23,376.93,10.9,97.44,0,0,0,127
20:07:17,687.63,380.23,7.98,55.27,0,0,0,128
20:07:17,792.62,383.03,12.58,96.05,0,0,0,129
20:07:17,789.92,382.94,17.21,115.05,0,0,0,130
20:07:17,687.82,385.64,9.38,69.85,0,0,0,131
20:07:17,755.94,385.95,11.04,77.15,0,0,0,132
20:07:17,810.47,382.94,11.88,117.87,0,0,0,133
20:07:17,713.43,385.68,10.74,85.44,0,0,0,134
20:07:17,718.72,384.5,11.07,67.2,0,0,0,135
20:07:17,816.47,385.87,13.41,113.8,0,0,0,136
20:07:17,752.22,388.44,8.59,104.83,0,0,0,137
20:07:17,682.49,381.68,6.78,55.92,0,0,0,138
20:07:17,788.36,383.06,12.2,97.12,0,0,0,139
20:07:17,790.82,384.22,11.62,112.44,0,0,0,140
20:07:17,681.4,380.84,8.99,63.86,0,0,0,141
20:07:17,751.68,378.78,12.82,74.57,0,0,0,142
20:07:17,814.95,385.53,17.69,117.32,0,0,0,143
20:07:17,713.77,382.66,9.37,81.43,0,0,0,144
20:07:17,711.64,384.22,10.22,60.76,0,0,0,145
20:07:17,815.35,384.05,13.46,108.77,0,0,0,146
20:07:17,754.14,381.13,9.87,99.96,0,0,0,147
20:07:17,685.16,380.06,10.21,52.46,0,0,0,148
20:07:17,796.3,380.06,14.95,94.42,0,0,0,149
20:07:17,791.22,379.3,14.47,120.56,0,0,0,150
20:07:17,689.81,383.85,5.97,69.8,0,0,0,151
20:07:17,753.97,382.56,14.03,74.75,0,0,0,152
20:07:17,813.44,380.92,15.3,114.46,0,0,0,153
20:07:17,711.24,382.18,7.39,84.64,0,0,0,154
20:07:17,711.45,381.51,9.42,61.19,0,0,0,155
20:07:17,816.21,384.69,15.96,110.93,0,0,0,156
20:07:17,756.36,383.5,13.47,101.93,0,0,0,157
20:07:17,685.59,383.99,8.71,58.39,0,0,0,158
20:07:17,797.86,382.57,18.22,99.4,0,0,0,159
20:07:17,798.4,388.9,14,118.11,0,0,0,160
20:07:17,689.64,385.68,7.15,69.34,0,0,0,161
20:07:17,759.43,382.94,14.11,79.29,0,0,0,162
20:07:17,822.21,385.51,13.64,120.43,0,0,0,163
20:07:17,716.3,385.02,8.93,89.3,0,0,0,164
20:07:17,716.44,384,8.89,68,0,0,0,165
20:07:17,816.63,388.42,14.33,114.6,0,0,0,166
20:07:17,753.61,386.32,13.76,103.46,0,0,0,167
20:07:17,685.92,384.41,8.81,60.12,0,0,0,168
20:07:17,793.36,384.85,13.82,98.94,0,0,0,169
20:07:17,791.35,388.18,14.15,118.26,0,0,0,170
20:07:17,685.36,387.61,7.23,69.48,0,0,0,171
20:07:17,754.11,390.75,14.12,80.61,0,0,0,172
20:07:17,817.66,390.72,15.47,123.93,0,0,0,173
20:07:17,717.03,387.38,10.11,90.03,0,0,0,174
20:07:17,712.75,390.92,11.12,65.54,0,0,0,175
20:07:17,815.81,390.98,14.79,113.36,0,0,0,176
20:07:17,757.21,390.54,10.68,105.59,0,0,0,177
20:07:17,684.45,386.25,5.02,60.49,0,0,0,178
20:07:17,789.62,384.07,13.59,96.37,0,0,0,179
20:07:17,791.04,385.84,12.46,116.32,0,0,0,180
20:07:17,681.35,383.75,5.92,67.44,0,0,0,181
20:07:17,754.51,383.55,9.04,77.07,0,0,0,182
20:07:17,819.65,385.06,15.08,118.19,0,0,0,183
20:07:17,716.46,382.06,8.97,88.73,0,0,0,184
20:07:17,709.11,385.66,9.21,66.19,0,0,0,185
20:07:17,814.06,386.93,16.94,111.05,0,0,0,186
20:07:17,751.94,386.62,12.61,105.73,0,0,0,187
20:07:17,681.03,383.52,6.47,61.41,0,0,0,188
20:07:17,787.51,386.26,14.92,100.01,0,0,0,189
20:07:17,794.36,386.49,14.45,121.16,0,0,0,190
20:07:17,685.34,386.89,9.16,75.18,0,0,0,191
20:07:17,750.4,386.35,15.02,84.3,0,0,0,192
20:07:17,809.56,381.87,15.3,123.61,0,0,0,193
20:07:17,705.88,383.87,8.45,85.06,0,0,0,194
20:07:17,700.84,381.83,6.79,62.76,0,0,0,195
20:07:17,813.63,382.6,15.54,112.63,0,0,0,196
20:07:17,752.31,383.22,9.26,100.07,0,0,0,197
20:07:17,675.87,376.21,8.25,56.07,0,0,0,198
20:07:17,784.03,379.99,14.82,94.14,0,0,0,199
20:07:17,785.16,381.08,15.06,111.57,0,0,0,200
20:07:17,677,376.62,5.74,62.56,0,0,0,0
20:07:17,742.84,378.09,12.32,70.64,0,0,0,1
20:07:17,807.98,382.86,14.57,118.31,0,0,0,2
20:07:17,709.73,378.34,9.32,83.51,0,0,0,3
20:07:17,706.67,379.15,10.22,59.47,0,0,0,4
20:07:17,807.8,381.32,11.8,113.09,0,0,0,5
20:07:17,754.1,380.26,7.65,100.49,0,0,0,6
20:07:17,685.06,380.48,6.92,59.22,0,0,0,7
20:07:17,793.88,382.74,13.98,95.48,0,0,0,8
20:07:17,795.18,382.96,13.01,114.59,0,0,0,9
20:07:17,683.97,384.46,3.68,69.02,0,0,0,10
20:07:17,747.97,381.43,11.39,74.39,0,0,0,11
20:07:17,812.4,382.41,11.14,116.07,0,0,0,12
20:07:17,710.94,382.45,6.05,84.69,0,0,0,13
20:07:17,710.14,381.68,9.79,58.85,0,0,0,14
20:07:17,812.95,385.52,14.37,107.77,0,0,0,15
20:07:17,756.16,381.53,10.9,98.36,0,0,0,16
20:07:17,681.76,380.81,5.61,53.19,0,0,0,17
20:07:17,784.66,383.07,13.81,89.96,0,0,0,18
20:07:17,785.87,382.58,13.18,109.75,0,0,0,19
20:07:17,681.33,385.02,5.93,64.67,0,0,0,20
20:07:17,748.39,380.75,11.17,75.12,0,0,0,21
20:07:17,812.58,380.19,16.63,115.65,0,0,0,22
20:07:17,711.99,378.75,6.96,81.57,0,0,0,23
20:07:17,703.38,380.77,8.69,58.9,0,0,0,24
20:07:17,811.6,379.54,14.96,105.98,0,0,0,25
20:07:17,749.35,375.11,11.74,101.82,0,0,0,26
20:07:17,676.68,375.91,9.28,52.15,0,0,0,27
20:07:17,780.09,374.85,12.21,87.46,0,0,0,28
20:07:17,784.4,378.91,13.65,108.5,0,0,0,29
20:07:17,677.76,376.85,4.7,61.91,0,0,0,30
20:07:17,739.4,378.96,10.41,69.78,0,0,0,31
20:07:17,812.84,380.47,15.27,115.03,0,0,0,32
20:07:17,704.8,380.53,9.32,81.64,0,0,0,33
20:07:17,701.38,376.44,8.97,56.94,0,0,0,34
20:07:17,805.62,378.98,11.72,104.44,0,0,0,35
20:07:17,747.59,377.87,10.12,99.44,0,0,0,36
20:07:17,673.69,378.1,8.03,55.21,0,0,0,37
20:07:17,781.96,378.55,15.74,92.25,0,0,0,38
20:07:17,788.21,380.73,14.27,112.74,0,0,0,39
20:07:17,674.42,383.43,7.41,66.03,0,0,0,40
20:07:17,740.25,386.63,12.43,78.39,0,0,0,41
20:07:17,809.94,389.32,16.74,119.49,0,0,0,42
20:07:17,707.63,383,10.73,86.49,0,0,0,43
20:07:17,706.41,385.08,11.34,60.35,0,0,0,44
20:07:17,814.46,387.37,15.95,109.12,0,0,0,45
20:07:17,757,382.78,12.21,103.37,0,0,0,46
20:07:17,681.29,382.74,5.42,61.87,0,0,0,47
20:07:17,791.52,379.24,15.9,96.56,0,0,0,48
20:07:17,796.77,385.08,11.37,114.4,0,0,0,49
20:07:17,684.84,381.92,5.75,69.73,0,0,0,50
20:07:17,754.02,381.82,14.45,79.05,0,0,0,51
20:07:17,819.37,384.65,16.98,119.88,0,0,0,52
20:07:17,714.33,383.09,10.67,89.37,0,0,0,53
20:07:17,710.36,386.28,10.22,65.72,0,0,0,54
20:07:17,819.26,389.41,18.01,112.09,0,0,0,55
20:07:17,760.54,389.03,11.36,108.35,0,0,0,56
20:07:17,683.9,389.05,6.32,67.85,0,0,0,57
20:07:17,793.92,387.81,14.31,102.36,0,0,0,58
20:07:18,799.85,387.26,14.38,123.93,0,0,0,59
20:07:18,689.64,383.84,9.81,72.29,0,0,0,60
20:07:18,751.6,384.47,11.83,81.65,0,0,0,61
20:07:18,819.6,388.27,17.69,122.53,0,0,0,62
20:07:18,713.25,383.55,8.63,88.75,0,0,0,63
20:07:18,706.73,380.36,7.75,63.86,0,0,0,64
20:07:18,811.73,384.6,15.89,113.16,0,0,0,65
20:07:18,757,380.52,10.53,101.49,0,0,0,66
20:07:18,685.42,378.32,8.31,55.23,0,0,0,67
20:07:18,792.62,384.58,15.11,96.6,0,0,0,68
20:07:18,795.95,380.85,13.42,114.41,0,0,0,69
20:07:18,692.03,383.11,6.38,69.32,0,0,0,70
20:07:18,751.73,381.01,11.33,73.01,0,0,0,71
20:07:18,815.65,382.68,15.66,114.76,0,0,0,72
20:07:18,715.94,380.8,10.92,83.4,0,0,0,73
20:07:18,706.38,383.86,10.68,58.47,0,0,0,74
20:07:18,817.3,388.14,13.32,110.5,0,0,0,75
20:07:18,759.8,384.83,10.63,105.12,0,0,0,76
20:07:18,680.29,386,7.58,56.69,0,0,0,77
20:07:18,783.79,379.78,14.56,84.73,0,0,0,78
20:07:22,784.93,377.27,13.58,106.01,0,0,0,0
20:07:22,678.68,378.12,6.82,59.87,0,0,0,1
20:07:22,756.43,380.32,11.61,75.3,0,0,0,2
20:07:22,808.26,377.23,13.03,112.27,0,0,0,3
20:07:22,701.5,375.82,9.42,72.12,0,0,0,4
20:07:22,707.99,379.87,8.49,58.27,0,0,0,5
20:07:22,810.61,379.56,15.63,107.58,0,0,0,6
20:07:22,742.35,378.15,11.54,90.94,0,0,0,7
20:07:22,673.32,375.11,10.2,48,0,0,0,8
20:07:22,789.51,379.77,16.14,92.48,0,0,0,9
20:07:22,780.17,374.79,14.53,106.77,0,0,0,10
20:07:22,673.31,376.91,9.54,58.63,0,0,0,11
20:07:22,747.05,380.57,13.65,70.87,0,0,0,12
20:07:22,804.67,378.59,11.32,111.73,0,0,0,13
20:07:22,701.79,376.38,8.53,76.43,0,0,0,14
20:07:22,707.31,378.06,10.97,55.15,0,0,0,15
20:07:22,812.41,381.5,13.42,104.03,0,0,0,16
20:07:22,742.92,375.68,10.23,98.23,0,0,0,17
20:07:22,674.71,375.9,6.53,48.67,0,0,0,18
20:07:22,786.74,374.28,14.6,90.83,0,0,0,19
20:07:22,779.49,376.95,13.95,104.27,0,0,0,20
20:07:22,666.6,375.22,6.88,52.89,0,0,0,21
20:07:22,743.91,375.76,12.9,65.98,0,0,0,22
20:07:22,802.97,380.52,16.05,111.51,0,0,0,23
20:07:22,695.67,375.56,9.68,76.12,0,0,0,24
20:07:22,702.62,378.3,11.43,56.38,0,0,0,25
20:07:22,806.07,379.47,17.75,104.83,0,0,0,26
20:07:23,739.52,378.35,14.91,93.78,0,0,0,27
20:07:23,675.26,376.95,7.48,51.05,0,0,0,28
20:07:23,788.89,378.54,18.68,88.1,0,0,0,29
20:07:23,784.7,380.96,15.52,109.03,0,0,0,30
