TS,Channel1,Channel2,Channel3,Channel4,Ref1,Ref2,Ref3,,IndexId
20:25:25,996.18,316.93,-51.71,-377.59,0,0,0,,13
20:25:25,1003.01,328.73,-86.85,-420.48,0,0,0,,14
20:25:25,952.49,292.53,-118.67,-449.21,0,0,0,,15
20:25:25,967.59,291.44,-67.49,-394.98,0,0,0,,16
20:25:25,1009.37,324.46,-83.26,-410.89,0,0,0,,17
20:25:25,968.2,287.27,-121.21,-449.44,0,0,0,,18
20:25:25,948.65,282.63,-94.63,-424.98,0,0,0,,19
20:25:25,1001.42,335.14,-60.83,-393.83,0,0,0,,20
20:25:25,987.6,313.94,-106.95,-439.01,0,0,0,,21
20:25:25,946.85,305.33,-102.27,-428.99,0,0,0,,22
20:25:25,999.53,330.4,-49.15,-378.52,0,0,0,,23
20:25:25,1016.74,318.83,-83.3,-413.5,0,0,0,,24
20:25:25,954.87,276.19,-121.31,-449.34,0,0,0,,25
20:25:25,970.61,305.86,-63.73,-390.72,0,0,0,,26
20:25:25,1019.23,336.61,-65.09,-394.97,0,0,0,,27
20:25:25,968.44,301.62,-121.58,-450.33,0,0,0,,28
20:25:25,950.84,313.39,-85.97,-410.33,0,0,0,,29
20:25:25,1007.79,310.12,-64.86,-390.26,0,0,0,,30
20:25:25,991.4,304.21,-107.56,-434.66,0,0,0,,31
20:25:25,941.45,290.47,-106.95,-438.78,0,0,0,,32
20:25:25,991.79,308.22,-52.27,-384.33,0,0,0,,33
20:25:25,997.82,324.43,-93.6,-429.26,0,0,0,,34
20:25:25,950.41,283.96,-117.94,-445.2,0,0,0,,35
20:25:25,959.81,298.26,-80.12,-405.54,0,0,0,,36
20:25:25,1004.83,345.12,-80.09,-412.83,0,0,0,,37
20:25:25,973.47,282.3,-116.61,-443.88,0,0,0,,38
20:25:25,955.96,280,-83.35,-406.62,0,0,0,,39
20:25:25,1005.67,334.67,-57.86,-385.3,0,0,0,,40
20:25:25,980.66,300.87,-115.13,-443.54,0,0,0,,41
20:25:25,944.14,271.34,-114.29,-437.52,0,0,0,,42
20:25:25,989.83,318.41,-55.65,-384.98,0,0,0,,43
20:25:25,1005.1,333.63,-90.2,-423.81,0,0,0,,44
20:25:25,950.46,272.45,-123.65,-450.48,0,0,0,,45
20:25:25,968.07,307.03,-71.25,-401.01,0,0,0,,46
20:25:25,1013.72,336.28,-74.46,-404.27,0,0,0,,47
20:25:25,970.48,291.61,-116.24,-448.85,0,0,0,,48
20:25:25,957.89,276.34,-85.37,-417.37,0,0,0,,49
20:25:25,1003.77,361.23,-53.03,-382.59,0,0,0,,50
20:25:25,987.05,300.92,-112.31,-443.34,0,0,0,,51
20:25:25,940.93,268.39,-114.34,-439.35,0,0,0,,52
20:25:25,998.08,322.94,-49.27,-379.43,0,0,0,,53
20:25:25,997.97,317.88,-98.67,-432.08,0,0,0,,54
20:25:25,948.24,271.25,-126.55,-464.13,0,0,0,,55
20:25:25,968.1,299.3,-72.86,-398.53,0,0,0,,56
20:25:25,1010.26,345.54,-70.41,-400.29,0,0,0,,57
20:25:25,969.26,300.23,-122.78,-450.99,0,0,0,,58
20:25:25,963.65,291.39,-80.91,-409.9,0,0,0,,59
20:25:25,1003.89,337.6,-60.54,-387.1,0,0,0,,60
20:25:25,984.9,301.1,-109.16,-435.26,0,0,0,,61
20:25:25,947.05,276.2,-112.05,-439.6,0,0,0,,62
20:25:25,992.13,333.78,-54.51,-380.78,0,0,0,,63
20:25:25,1006.26,320.23,-87.64,-416.47,0,0,0,,64
20:25:25,949.99,273.37,-130.9,-455.65,0,0,0,,65
20:25:25,965.36,304.85,-70.23,-401.81,0,0,0,,66
20:25:25,1002.56,349.18,-76.66,-404.93,0,0,0,,67
20:25:25,970.12,291.06,-119.77,-453.57,0,0,0,,68
20:25:25,958.54,282.57,-85.68,-410.97,0,0,0,,69
20:25:25,1002.17,331.33,-64.9,-388.65,0,0,0,,70
20:25:25,985.73,306.39,-110.85,-435.7,0,0,0,,71
20:25:25,938.47,269.44,-116.77,-445.5,0,0,0,,72
20:25:25,986.69,306.21,-60.8,-389.76,0,0,0,,73
20:25:25,994.3,324.97,-95.98,-425.28,0,0,0,,74
20:25:25,947.01,281.71,-127.97,-455.85,0,0,0,,75
20:25:25,960.96,285.56,-78.59,-409.56,0,0,0,,76
20:25:25,1004.03,320.95,-81.36,-412.65,0,0,0,,77
20:25:25,957.03,292.24,-132.97,-459.64,0,0,0,,78
20:25:25,943.83,266.2,-99.63,-423.73,0,0,0,,79
20:25:25,995.25,329.16,-68.2,-398.68,0,0,0,,80
20:25:25,982.77,320.67,-111.4,-439.89,0,0,0,,81
20:25:25,946.69,268.78,-114.72,-439.31,0,0,0,,82
20:25:25,986.51,305.18,-64.69,-396.36,0,0,0,,83
20:25:25,994.43,327.36,-98.61,-430.78,0,0,0,,84
20:25:25,946.98,282.99,-132.09,-461.07,0,0,0,,85
20:25:25,968.46,301.34,-68.8,-398.61,0,0,0,,86
20:25:25,996.25,327.09,-88.42,-422.96,0,0,0,,87
20:25:25,968.29,276.91,-123.92,-459.33,0,0,0,,88
20:25:25,941.46,278.6,-98.13,-427.93,0,0,0,,89
20:25:25,996.24,326.79,-62.55,-398.96,0,0,0,,90
20:25:25,981.45,318.88,-106.81,-439.49,0,0,0,,91
